Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,Cuarentena,Dia,1,2,3,4,5,6,7,8,9,10,dia_a_predecir
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,23,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,24,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,25,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,26,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,27,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,28,1,1,1,1,1,1,1,1,1,1,1
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,29,1,1,1,1,1,1,1,1,1,1,2
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,30,1,1,1,1,1,1,1,1,1,2,2
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,31,1,1,1,1,1,1,1,1,2,2,2
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,32,1,1,1,1,1,1,1,2,2,2,3
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,33,1,1,1,1,1,1,2,2,2,3,6
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,34,1,1,1,1,1,2,2,2,3,6,6
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,35,1,1,1,1,2,2,2,3,6,6,6
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,36,1,1,1,2,2,2,3,6,6,6,6
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,37,1,1,2,2,2,3,6,6,6,6,12
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,38,1,2,2,2,3,6,6,6,6,12,15
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,39,2,2,2,3,6,6,6,6,12,15,15
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,40,2,2,3,6,6,6,6,12,15,15,23
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,41,2,3,6,6,6,6,12,15,15,23,30
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,42,3,6,6,6,6,12,15,15,23,30,40
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,43,6,6,6,6,12,15,15,23,30,40,59
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,44,6,6,6,12,15,15,23,30,40,59,59
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,45,6,6,12,15,15,23,30,40,59,59,155
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,59.0,46,6,12,15,15,23,30,40,59,59,155,225
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,11,2,3,3,3,4,5,5,5,6,6,6
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,12,3,3,3,4,5,5,5,6,6,6,6
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,13,3,3,4,5,5,5,6,6,6,6,6
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,14,3,4,5,5,5,6,6,6,6,6,6
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,15,4,5,5,5,6,6,6,6,6,6,6
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,16,5,5,5,6,6,6,6,6,6,6,11
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,17,5,5,6,6,6,6,6,6,6,11,11
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,18,5,6,6,6,6,6,6,6,11,11,11
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,19,6,6,6,6,6,6,6,11,11,11,11
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,20,6,6,6,6,6,6,11,11,11,11,11
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,21,6,6,6,6,6,11,11,11,11,11,11
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,22,6,6,6,6,11,11,11,11,11,11,11
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,23,6,6,6,11,11,11,11,11,11,11,12
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,24,6,6,11,11,11,11,11,11,11,12,12
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,8.305672727272727,5.42901818181818,2,2707074.0,9.32,54.0,25,6,11,11,11,11,11,11,11,12,12,12
